Przestêpstwa bójka i pobicie wg jednostek podzia³u administracyjnego kraju - przestêpstwa stwierdzone, przestêpstwa wykryte, % wykrycia.;;;;;;;;;;;
;;;;;;;;;;;
Jednostka podzia³u administracyjnego;Rok;Przestêpstwa stwierdzone;Przestêpstwa wykryte;% wykrycia;;;;;;;
woj. warmiñsko-mazurskie;2007;722;619;85,7;;;;;;;
woj. warmiñsko-mazurskie;2006;828;681;82,0;;;;;;;
woj. warmiñsko-mazurskie;2005;784;636;80,9;;;;;;;
woj. warmiñsko-mazurskie;2004;847;661;77,8;;;;;;;
woj. warmiñsko-mazurskie;2003;849;680;79,8;;;;;;;
woj. warmiñsko-mazurskie;2002;876;749;85,5;;;;;;;
woj. warmiñsko-mazurskie;2001;885;742;83,3;;;;;;;
woj. warmiñsko-mazurskie;2000;771;623;80,6;;;;;;;
woj. warmiñsko-mazurskie;1999;673;552;81,9;;;;;;;
woj. wielkopolskie;2021;139;131;94,2;;;;;;;
woj. wielkopolskie;2020;165;154;93,3;;;;;;;
woj. wielkopolskie;2019;166;155;93,4;;;;;;;
woj. wielkopolskie;2018;172;160;93,0;;;;;;;
woj. wielkopolskie;2017;215;197;91,2;;;;;;;
woj. wielkopolskie;2016;258;233;90,0;;;;;;;
woj. wielkopolskie;2015;268;235;87,4;;;;;;;
woj. wielkopolskie;2014;286;259;89,6;;;;;;;
woj. wielkopolskie;2013;577;527;91,0;;;;;;;
woj. wielkopolskie;2012;854;793;92,6;;;;;;;
woj. wielkopolskie;2011;702;639;90,9;;;;;;;
woj. wielkopolskie;2010;778;698;89,7;;;;;;;
woj. wielkopolskie;2009;894;802;89,3;;;;;;;
woj. wielkopolskie;2008;948;848;89,2;;;;;;;
woj. wielkopolskie;2007;912;798;87,5;;;;;;;
woj. wielkopolskie;2006;875;772;88,0;;;;;;;
woj. wielkopolskie;2005;836;739;87,9;;;;;;;
woj. wielkopolskie;2004;763;641;83,9;;;;;;;
woj. wielkopolskie;2003;830;690;83,0;;;;;;;
woj. wielkopolskie;2002;897;719;80,0;;;;;;;
woj. wielkopolskie;2001;842;668;78,9;;;;;;;
woj. wielkopolskie;2000;786;629;80,0;;;;;;;
woj. wielkopolskie;1999;736;538;73,0;;;;;;;
